RIC NAME,GMT DATE, GMT TIME ,Asia/Shanghai DATE ,Asia/Shanghai TIME ,ASK,BID,CCY1,COUPN_RATE,DSPLY_NAME,MATUR_DATE,OFFCL_CODE,YTM_ASK,YTM_BID
AMBMBRM-01Y,30-Jan-2012,09:51:17,30-Jan-2012,17:51:17,99.2481,99.2595,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.39,3.49
AMBMBRM-01Y,30-Jan-2012,09:51:18,30-Jan-2012,17:51:18,99.2595,99.2595,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.39,3.49
AMBMBRM-01Y,31-Jan-2012,01:08:15,31-Jan-2012,09:08:15,99.2613,99.2613,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.39,3.49
AMBMBRM-01Y,01-Feb-2012,01:12:23,01-Feb-2012,09:12:23,99.263,99.263,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.39,3.49
AMBMBRM-01Y,02-Feb-2012,01:08:39,02-Feb-2012,09:08:39,99.2421,99.2421,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,02-Feb-2012,05:44:50,02-Feb-2012,13:44:50,99.2421,99.2421,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,02-Feb-2012,09:26:29,02-Feb-2012,17:26:29,99.2421,99.2421,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.5
AMBMBRM-01Y,02-Feb-2012,09:26:30,02-Feb-2012,17:26:30,99.2421,99.2421,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.5
AMBMBRM-01Y,02-Feb-2012,09:26:31,02-Feb-2012,17:26:31,99.2534,99.2534,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.5
AMBMBRM-01Y,03-Feb-2012,01:19:38,03-Feb-2012,09:19:38,99.2587,99.2587,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.5
AMBMBRM-01Y,03-Feb-2012,04:17:46,03-Feb-2012,12:17:46,99.2587,99.2587,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.5
AMBMBRM-01Y,06-Feb-2012,09:20:23,06-Feb-2012,17:20:23,99.2605,99.2605,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.5
AMBMBRM-01Y,06-Feb-2012,09:21:13,06-Feb-2012,17:21:13,99.2605,99.2605,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.51
AMBMBRM-01Y,06-Feb-2012,09:21:14,06-Feb-2012,17:21:14,99.2605,99.2605,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,06-Feb-2012,09:21:16,06-Feb-2012,17:21:16,99.2492,99.2492,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,07-Feb-2012,01:03:39,07-Feb-2012,09:03:39,99.251,99.251,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,07-Feb-2012,02:58:08,07-Feb-2012,10:58:08,99.251,99.251,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,07-Feb-2012,05:25:14,07-Feb-2012,13:25:14,99.251,99.251,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,07-Feb-2012,09:47:41,07-Feb-2012,17:47:41,99.251,99.251,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.49
AMBMBRM-01Y,07-Feb-2012,09:47:44,07-Feb-2012,17:47:44,99.251,99.251,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.39,3.49
AMBMBRM-01Y,07-Feb-2012,09:47:45,07-Feb-2012,17:47:45,99.251,99.2734,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.39,3.49
AMBMBRM-01Y,07-Feb-2012,09:47:46,07-Feb-2012,17:47:46,99.2734,99.2734,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.39,3.49
AMBMBRM-01Y,08-Feb-2012,04:17:46,08-Feb-2012,12:17:46,99.2752,99.2752,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.39,3.49
AMBMBRM-01Y,09-Feb-2012,01:07:30,09-Feb-2012,09:07:30,99.2546,99.2546,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,10-Feb-2012,01:09:40,10-Feb-2012,09:09:40,99.26,99.26,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,10-Feb-2012,01:12:11,10-Feb-2012,09:12:11,99.26,99.26,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,13-Feb-2012,01:35:41,13-Feb-2012,09:35:41,99.271,99.271,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.5
AMBMBRM-01Y,13-Feb-2012,03:01:03,13-Feb-2012,11:01:03,99.271,99.271,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.5
AMBMBRM-01Y,14-Feb-2012,01:13:38,14-Feb-2012,09:13:38,99.2636,99.2636,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.51
AMBMBRM-01Y,14-Feb-2012,09:25:49,14-Feb-2012,17:25:49,99.2636,99.2636,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.41,3.5
AMBMBRM-01Y,14-Feb-2012,09:25:52,14-Feb-2012,17:25:52,99.2636,99.2636,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.5
AMBMBRM-01Y,14-Feb-2012,09:25:52,14-Feb-2012,17:25:52,99.2746,99.2746,RMB,2.75,CNBB 2.75 09-Apr,0,CND100002HS0,3.4,3.5
