RIC NAME,GMT DATE, GMT TIME ,Asia/Shanghai DATE ,Asia/Shanghai TIME ,ASK,BID,COUPN_RATE,DSPLY_NAME,MATUR_DATE,OFFCL_CODE,YTM_ASK,YTM_BID
AMBMGRM-01Y,12-Dec-2013,09:16:49,12-Dec-2013,17:16:49,99.039,99.01,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.31,5.41
AMBMGRM-01Y,12-Dec-2013,09:16:50,12-Dec-2013,17:16:50,99.056,99.01,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.31,5.41
AMBMGRM-01Y,13-Dec-2013,03:00:01,13-Dec-2013,11:00:01,99.073,99.03,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.31,5.41
AMBMGRM-01Y,13-Dec-2013,09:43:28,13-Dec-2013,17:43:28,99.073,99.03,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.31,5.39
AMBMGRM-01Y,13-Dec-2013,09:43:29,13-Dec-2013,17:43:29,99.073,99.04,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.31,5.39
AMBMGRM-01Y,13-Dec-2013,09:43:31,13-Dec-2013,17:43:31,99.073,99.04,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.29,5.39
AMBMGRM-01Y,13-Dec-2013,09:43:32,13-Dec-2013,17:43:32,99.082,99.04,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.29,5.39
AMBMGRM-01Y,16-Dec-2013,00:00:28,16-Dec-2013,08:00:28,99.082,99.04,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.29,5.39
AMBMGRM-01Y,16-Dec-2013,03:00:01,16-Dec-2013,11:00:01,99.087,99.05,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.29,5.39
AMBMGRM-01Y,16-Dec-2013,09:12:41,16-Dec-2013,17:12:41,99.087,99.05,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.29,5.41
AMBMGRM-01Y,16-Dec-2013,09:12:42,16-Dec-2013,17:12:42,99.087,99.04,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.31,5.41
AMBMGRM-01Y,16-Dec-2013,09:12:43,16-Dec-2013,17:12:43,99.079,99.04,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.31,5.41
AMBMGRM-01Y,17-Dec-2013,03:00:01,17-Dec-2013,11:00:01,99.085,99.04,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.31,5.41
AMBMGRM-01Y,17-Dec-2013,09:18:34,17-Dec-2013,17:18:34,99.085,99.04,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.31,5.5
AMBMGRM-01Y,17-Dec-2013,09:18:35,17-Dec-2013,17:18:35,99.085,99.01,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.4,5.5
AMBMGRM-01Y,17-Dec-2013,09:18:36,17-Dec-2013,17:18:36,99.048,99.01,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.4,5.5
AMBMGRM-01Y,18-Dec-2013,03:00:02,18-Dec-2013,11:00:02,99.054,99.01,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.4,5.5
AMBMGRM-01Y,18-Dec-2013,08:51:57,18-Dec-2013,16:51:57,99.054,99.01,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.4,5.55
AMBMGRM-01Y,18-Dec-2013,08:51:58,18-Dec-2013,16:51:58,99.054,98.99,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.4,5.55
AMBMGRM-01Y,18-Dec-2013,08:51:59,18-Dec-2013,16:51:59,99.033,98.99,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.45,5.55
AMBMGRM-01Y,19-Dec-2013,03:00:00,19-Dec-2013,11:00:00,99.039,99.0,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.45,5.55
AMBMGRM-01Y,19-Dec-2013,09:43:27,19-Dec-2013,17:43:27,99.039,99.0,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.45,5.63
AMBMGRM-01Y,19-Dec-2013,09:43:28,19-Dec-2013,17:43:28,99.039,98.97,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.53,5.63
AMBMGRM-01Y,19-Dec-2013,09:43:29,19-Dec-2013,17:43:29,99.007,98.97,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.53,5.63
AMBMGRM-01Y,20-Dec-2013,03:00:00,20-Dec-2013,11:00:00,99.025,98.99,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.53,5.63
AMBMGRM-01Y,20-Dec-2013,09:14:49,20-Dec-2013,17:14:49,99.025,98.99,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.53,5.58
AMBMGRM-01Y,20-Dec-2013,09:14:50,20-Dec-2013,17:14:50,99.025,99.01,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.53,5.58
AMBMGRM-01Y,20-Dec-2013,09:14:51,20-Dec-2013,17:14:51,99.025,99.01,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.48,5.58
AMBMGRM-01Y,20-Dec-2013,09:14:52,20-Dec-2013,17:14:52,99.045,99.01,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.48,5.58
AMBMGRM-01Y,23-Dec-2013,02:12:07,23-Dec-2013,10:12:07,99.045,99.01,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.48,5.58
AMBMGRM-01Y,23-Dec-2013,03:00:01,23-Dec-2013,11:00:01,99.051,99.01,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.48,5.58
AMBMGRM-01Y,23-Dec-2013,03:00:12,23-Dec-2013,11:00:12,99.051,99.01,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.48,5.58
AMBMGRM-01Y,23-Dec-2013,03:24:25,23-Dec-2013,11:24:25,99.051,99.01,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.48,5.58
AMBMGRM-01Y,23-Dec-2013,06:47:16,23-Dec-2013,14:47:16,99.051,99.01,3.15,CNRMG 3.15 May14,24-May-2014,CND100005958,5.48,5.58
