RIC NAME,GMT DATE, GMT TIME ,Asia/Shanghai DATE ,Asia/Shanghai TIME ,ASK,BID
AMCPSRMB02YA5Q03L,05-Dec-2012,12:36:03,05-Dec-2012,20:36:03,0.79,0.39
AMCPSRMB02YA5Q03L,05-Dec-2012,13:05:26,05-Dec-2012,21:05:26,0.79,0.39
AMCPSRMB02YA5Q03L,05-Dec-2012,13:05:59,05-Dec-2012,21:05:59,0.79,0.39
AMCPSRMB02YA5Q03L,05-Dec-2012,19:47:57,06-Dec-2012,03:47:57,0.79,0.39
AMCPSRMB02YA5Q03L,06-Dec-2012,05:32:32,06-Dec-2012,13:32:32,0.79,0.39
AMCPSRMB02YA5Q03L,06-Dec-2012,15:35:09,06-Dec-2012,23:35:09,0.79,0.39
AMCPSRMB02YA5Q03L,07-Dec-2012,11:30:23,07-Dec-2012,19:30:23,0.79,0.39
AMCPSRMB02YA5Q03L,09-Dec-2012,23:10:30,10-Dec-2012,07:10:30,0.79,0.39
AMCPSRMB02YA5Q03L,10-Dec-2012,19:03:07,11-Dec-2012,03:03:07,0.79,0.39
AMCPSRMB02YA5Q03L,11-Dec-2012,15:04:09,11-Dec-2012,23:04:09,0.79,0.39
AMCPSRMB02YA5Q03L,12-Dec-2012,11:09:42,12-Dec-2012,19:09:42,0.79,0.39
AMCPSRMB02YA5Q03L,13-Dec-2012,07:16:46,13-Dec-2012,15:16:46,0.79,0.39
AMCPSRMB02YA5Q03L,13-Dec-2012,09:46:25,13-Dec-2012,17:46:25,0.79,0.39
AMCPSRMB02YA5Q03L,13-Dec-2012,09:50:15,13-Dec-2012,17:50:15,0.79,0.39
AMCPSRMB02YA5Q03L,14-Dec-2012,03:24:21,14-Dec-2012,11:24:21,0.79,0.39
AMCPSRMB02YA5Q03L,14-Dec-2012,09:57:44,14-Dec-2012,17:57:44,0.79,0.38
AMCPSRMB02YA5Q03L,14-Dec-2012,09:57:45,14-Dec-2012,17:57:45,0.79,0.38
AMCPSRMB02YA5Q03L,14-Dec-2012,09:57:53,14-Dec-2012,17:57:53,0.79,0.39
AMCPSRMB02YA5Q03L,14-Dec-2012,09:58:02,14-Dec-2012,17:58:02,0.79,0.39
AMCPSRMB02YA5Q03L,14-Dec-2012,09:58:12,14-Dec-2012,17:58:12,0.79,0.39
AMCPSRMB02YA5Q03L,14-Dec-2012,09:58:13,14-Dec-2012,17:58:13,0.79,0.39
AMCPSRMB02YA5Q03L,14-Dec-2012,21:48:24,15-Dec-2012,05:48:24,0.79,0.39
AMCPSRMB02YA5Q03L,14-Dec-2012,21:49:22,15-Dec-2012,05:49:22,0.79,0.39
AMCPSRMB02YA5Q03L,14-Dec-2012,23:13:40,15-Dec-2012,07:13:40,0.79,0.39
AMCPSRMB02YA5Q03L,14-Dec-2012,23:33:43,15-Dec-2012,07:33:43,0.79,0.39
AMCPSRMB02YA5Q03L,14-Dec-2012,23:45:41,15-Dec-2012,07:45:41,0.79,0.39
AMCPSRMB02YA5Q03L,14-Dec-2012,23:46:34,15-Dec-2012,07:46:34,0.79,0.39
AMCPSRMB02YA5Q03L,14-Dec-2012,23:48:56,15-Dec-2012,07:48:56,0.79,0.39
AMCPSRMB02YA5Q03L,14-Dec-2012,23:49:46,15-Dec-2012,07:49:46,0.79,0.39
AMCPSRMB02YA5Q03L,17-Dec-2012,01:19:37,17-Dec-2012,09:19:37,0.79,0.39
AMCPSRMB02YA5Q03L,17-Dec-2012,02:37:32,17-Dec-2012,10:37:32,0.79,0.39
AMCPSRMB02YA5Q03L,17-Dec-2012,12:07:09,17-Dec-2012,20:07:09,0.79,0.39
AMCPSRMB02YA5Q03L,18-Dec-2012,08:19:10,18-Dec-2012,16:19:10,0.79,0.39
AMCPSRMB02YA5Q03L,18-Dec-2012,09:36:31,18-Dec-2012,17:36:31,0.79,0.39
AMCPSRMB02YA5Q03L,18-Dec-2012,10:05:18,18-Dec-2012,18:05:18,0.79,0.39
AMCPSRMB02YA5Q03L,19-Dec-2012,04:31:25,19-Dec-2012,12:31:25,0.79,0.39
AMCPSRMB02YA5Q03L,20-Dec-2012,00:52:07,20-Dec-2012,08:52:07,0.79,0.39
AMCPSRMB02YA5Q03L,20-Dec-2012,21:13:56,21-Dec-2012,05:13:56,0.79,0.39
AMCPSRMB02YA5Q03L,21-Dec-2012,09:46:32,21-Dec-2012,17:46:32,0.79,0.38
AMCPSRMB02YA5Q03L,21-Dec-2012,09:46:42,21-Dec-2012,17:46:42,0.79,0.39
AMCPSRMB02YA5Q03L,21-Dec-2012,09:46:51,21-Dec-2012,17:46:51,0.79,0.39
AMCPSRMB02YA5Q03L,21-Dec-2012,09:46:52,21-Dec-2012,17:46:52,0.79,0.39
AMCPSRMB02YA5Q03L,21-Dec-2012,09:47:00,21-Dec-2012,17:47:00,0.79,0.39
AMCPSRMB02YA5Q03L,21-Dec-2012,09:47:01,21-Dec-2012,17:47:01,0.79,0.39
AMCPSRMB02YA5Q03L,21-Dec-2012,17:40:21,22-Dec-2012,01:40:21,0.79,0.39
AMCPSRMB02YA5Q03L,24-Dec-2012,07:09:55,24-Dec-2012,15:09:55,0.79,0.39
AMCPSRMB02YA5Q03L,25-Dec-2012,03:39:43,25-Dec-2012,11:39:43,0.79,0.39
AMCPSRMB02YA5Q03L,26-Dec-2012,00:09:41,26-Dec-2012,08:09:41,0.79,0.39
AMCPSRMB02YA5Q03L,26-Dec-2012,20:39:39,27-Dec-2012,04:39:39,0.79,0.39
AMCPSRMB02YA5Q03L,27-Dec-2012,17:09:34,28-Dec-2012,01:09:34,0.79,0.39
AMCPSRMB02YA5Q03L,27-Dec-2012,21:55:07,28-Dec-2012,05:55:07,0.79,0.39
AMCPSRMB02YA5Q03L,27-Dec-2012,21:58:24,28-Dec-2012,05:58:24,0.79,0.39
AMCPSRMB02YA5Q03L,28-Dec-2012,13:39:29,28-Dec-2012,21:39:29,0.79,0.39
AMCPSRMB02YA5Q03L,30-Dec-2012,23:07:12,31-Dec-2012,07:07:12,0.79,0.39
AMCPSRMB02YA5Q03L,31-Dec-2012,02:43:38,31-Dec-2012,10:43:38,0.79,0.39
AMCPSRMB02YA5Q03L,31-Dec-2012,02:43:43,31-Dec-2012,10:43:43,0.79,0.39
AMCPSRMB02YA5Q03L,31-Dec-2012,02:43:44,31-Dec-2012,10:43:44,0.79,0.39
AMCPSRMB02YA5Q03L,31-Dec-2012,03:15:11,31-Dec-2012,11:15:11,0.79,0.39
AMCPSRMB02YA5Q03L,31-Dec-2012,23:47:41,01-Jan-2013,07:47:41,0.79,0.39
AMCPSRMB02YA5Q03L,01-Jan-2013,20:22:20,02-Jan-2013,04:22:20,0.79,0.39
AMCPSRMB02YA5Q03L,02-Jan-2013,16:57:02,03-Jan-2013,00:57:02,0.79,0.39
AMCPSRMB02YA5Q03L,03-Jan-2013,06:50:17,03-Jan-2013,14:50:17,0.79,0.39
AMCPSRMB02YA5Q03L,03-Jan-2013,13:35:00,03-Jan-2013,21:35:00,0.79,0.39
AMCPSRMB02YA5Q03L,04-Jan-2013,10:15:59,04-Jan-2013,18:15:59,0.79,0.39
AMCPSRMB02YA5Q03L,07-Jan-2013,00:23:37,07-Jan-2013,08:23:37,0.79,0.39
AMCPSRMB02YA5Q03L,07-Jan-2013,21:06:25,08-Jan-2013,05:06:25,0.79,0.39
AMCPSRMB02YA5Q03L,08-Jan-2013,17:56:03,09-Jan-2013,01:56:03,0.79,0.39
AMCPSRMB02YA5Q03L,09-Jan-2013,14:47:34,09-Jan-2013,22:47:34,0.79,0.39
AMCPSRMB02YA5Q03L,10-Jan-2013,09:37:29,10-Jan-2013,17:37:29,0.79,0.39
AMCPSRMB02YA5Q03L,10-Jan-2013,11:40:47,10-Jan-2013,19:40:47,0.79,0.39
AMCPSRMB02YA5Q03L,11-Jan-2013,08:35:41,11-Jan-2013,16:35:41,0.79,0.39
